Interior Features,Interior Features - Attic Fan,InteriorFeature,interior_feature,interior1,"{table: :interior_feature, code: ' interior1', label: 'Attic Fan'},"
,Interior Features - Breakfast Bar,InteriorFeature,interior_feature,interior2,"{table: :interior_feature, code: ' interior2', label: 'Breakfast Bar'},"
,Interior Features - Breakfast Nook,InteriorFeature,interior_feature,interior3,"{table: :interior_feature, code: ' interior3', label: 'Breakfast Nook'},"
,Interior Features - Ceiling Fan(s),InteriorFeature,interior_feature,interior4,"{table: :interior_feature, code: ' interior4', label: 'Ceiling Fan(s)'},"
,Interior Features - Central Vacuum System,InteriorFeature,interior_feature,interior5,"{table: :interior_feature, code: ' interior5', label: 'Central Vacuum System'},"
,Interior Features - Disposal,InteriorFeature,interior_feature,interior6,"{table: :interior_feature, code: ' interior6', label: 'Disposal'},"
,Interior Features - Garage Door Opener,InteriorFeature,interior_feature,interior7,"{table: :interior_feature, code: ' interior7', label: 'Garage Door Opener'},"
,Interior Features - Handicap Access,InteriorFeature,interior_feature,interior8,"{table: :interior_feature, code: ' interior8', label: 'Handicap Access'},"
,Interior Features - Home Theater,InteriorFeature,interior_feature,interior9,"{table: :interior_feature, code: ' interior9', label: 'Home Theater'},"
,Interior Features - Home Warranty,InteriorFeature,interior_feature,interior10,"{table: :interior_feature, code: ' interior10', label: 'Home Warranty'},"
,Interior Features - Hot Tub,InteriorFeature,interior_feature,interior11,"{table: :interior_feature, code: ' interior11', label: 'Hot Tub'},"
,Interior Features - Jetted Tub,InteriorFeature,interior_feature,interior12,"{table: :interior_feature, code: ' interior12', label: 'Jetted Tub'},"
,Interior Features - Loft,InteriorFeature,interior_feature,interior13,"{table: :interior_feature, code: ' interior13', label: 'Loft'},"
,Interior Features - Mud Room,InteriorFeature,interior_feature,interior14,"{table: :interior_feature, code: ' interior14', label: 'Mud Room'},"
,Interior Features - Pantry,InteriorFeature,interior_feature,interior15,"{table: :interior_feature, code: ' interior15', label: 'Pantry'},"
,Interior Features - Porch,InteriorFeature,interior_feature,interior16,"{table: :interior_feature, code: ' interior16', label: 'Porch'},"
,Interior Features - RO System,InteriorFeature,interior_feature,interior17,"{table: :interior_feature, code: ' interior17', label: 'RO System'},"
,Interior Features - Satellite Dish,InteriorFeature,interior_feature,interior18,"{table: :interior_feature, code: ' interior18', label: 'Satellite Dish'},"
,Interior Features - Sauna,InteriorFeature,interior_feature,interior19,"{table: :interior_feature, code: ' interior19', label: 'Sauna'},"
,Interior Features - Security System,InteriorFeature,interior_feature,interior20,"{table: :interior_feature, code: ' interior20', label: 'Security System'},"
,Interior Features - Skylights,InteriorFeature,interior_feature,interior21,"{table: :interior_feature, code: ' interior21', label: 'Skylights'},"
,Interior Features - Sump Pump,InteriorFeature,interior_feature,interior22,"{table: :interior_feature, code: ' interior22', label: 'Sump Pump'},"
,Interior Features - Tile Floor,InteriorFeature,interior_feature,interior23,"{table: :interior_feature, code: ' interior23', label: 'Tile Floor'},"
,Interior Features - Trash Compactor,InteriorFeature,interior_feature,interior24,"{table: :interior_feature, code: ' interior24', label: 'Trash Compactor'},"
,Interior Features - Vaulted Ceiling(s),InteriorFeature,interior_feature,interior25,"{table: :interior_feature, code: ' interior25', label: 'Vaulted Ceiling(s)'},"
,Interior Features - Walk-in Closet(s),InteriorFeature,interior_feature,interior26,"{table: :interior_feature, code: ' interior26', label: 'Walk-in Closet(s)'},"
,Interior Features - Water Softener (owned),InteriorFeature,interior_feature,interior27,"{table: :interior_feature, code: ' interior27', label: 'Water Softener (owned)'},"
,Interior Features - Water Softener (leased),InteriorFeature,interior_feature,interior28,"{table: :interior_feature, code: ' interior28', label: 'Water Softener (leased)'},"
,Interior Features - Wet Bar,InteriorFeature,interior_feature,interior29,"{table: :interior_feature, code: ' interior29', label: 'Wet Bar'},"
,Interior Features - Wood Floor,InteriorFeature,interior_feature,interior30,"{table: :interior_feature, code: ' interior30', label: 'Wood Floor'},"
,,,,,
Commercial Features,Commercial Features - 220 Volt,InteriorFeature,interior_feature,interior31,"{table: :interior_feature, code: ' interior31', label: '220 Volt '},"
,Commercial Features - 3-Phase Electric,InteriorFeature,interior_feature,interior32,"{table: :interior_feature, code: ' interior32', label: '3-Phase Electric '},"
,Commercial Features - DSL/Cable,InteriorFeature,interior_feature,interior33,"{table: :interior_feature, code: ' interior33', label: 'DSL/Cable '},"
,Commercial Features - Elevator,InteriorFeature,interior_feature,interior34,"{table: :interior_feature, code: ' interior34', label: 'Elevator '},"
,Commercial Features - Fiber Optic,InteriorFeature,interior_feature,interior35,"{table: :interior_feature, code: ' interior35', label: 'Fiber Optic '},"
,Commercial Features - Handicapped Access,InteriorFeature,interior_feature,interior36,"{table: :interior_feature, code: ' interior36', label: 'Handicapped Access '},"
,Commercial Features - Security System,InteriorFeature,interior_feature,interior37,"{table: :interior_feature, code: ' interior37', label: 'Security System '},"
,Commercial Features - Specialty Equipment,InteriorFeature,interior_feature,interior38,"{table: :interior_feature, code: ' interior38', label: 'Specialty Equipment '},"
,Commercial Features - None,InteriorFeature,interior_feature,interior39,"{table: :interior_feature, code: ' interior39', label: 'None '},"
,,,,,
Miscellaneous ,Miscellaneous - Leased Equipment,InteriorFeature,interior_feature,interior40,"{table: :interior_feature, code: ' interior40', label: 'Leased Equipment '},"
,Miscellaneous - Fire Sprinkler System,InteriorFeature,interior_feature,interior41,"{table: :interior_feature, code: ' interior41', label: 'Fire Sprinkler System '},"
,Miscellaneous - Inventory Included,InteriorFeature,interior_feature,interior42,"{table: :interior_feature, code: ' interior42', label: 'Inventory Included '},"
,Miscellaneous - Irrigation,IrrigationType,irrigation_type,irrigationtype1,"{table: :irrigation_type, code: ' irrigationtype1', label: 'Irrigation '},"
,,,,,
Type of Leased Land ,Type of Leased Land - BLM,LandType,land_type,land5,"{table: :land_type, code: ' land5', label: 'BLM '},"
,Type of Leased Land - Bureau of Reclamation,LandType,land_type,land6,"{table: :land_type, code: ' land6', label: 'Bureau of Reclamation '},"
,Type of Leased Land - Forest Services,LandType,land_type,land7,"{table: :land_type, code: ' land7', label: 'Forest Services '},"
,Type of Leased Land - Private,LandType,land_type,land8,"{table: :land_type, code: ' land8', label: 'Private '},"
,Type of Leased Land - State,LandType,land_type,land9,"{table: :land_type, code: ' land9', label: 'State '},"
,Type of Leased Land - None,LandType,land_type,land10,"{table: :land_type, code: ' land10', label: 'None '},"
,,,,,
Topography ,Topography - Flat,LandType,land_type,land1,"{table: :land_type, code: ' land1', label: 'Flat '},"
,Topography - Mountainous,LandType,land_type,land2,"{table: :land_type, code: ' land2', label: 'Mountainous '},"
,Topography - Rolling,LandType,land_type,land3,"{table: :land_type, code: ' land3', label: 'Rolling '},"
,Topography - Steep,LandType,land_type,land4,"{table: :land_type, code: ' land4', label: 'Steep '},"
,Topography - Flat,LandType,land_type,land1,"{table: :land_type, code: ' land1', label: 'Flat '},"
,Topography - Mountainous,LandType,land_type,land2,"{table: :land_type, code: ' land2', label: ' Mountainous '},"
,Topography - Rolling,LandType,land_type,land3,"{table: :land_type, code: ' land3', label: 'Rolling '},"
,Topography - Steep,LandType,land_type,land4,"{table: :land_type, code: ' land4', label: 'Steep '},"
